curr_state	curr_action	next_reward	next_state	old_value	new_value
1927	-1	0	1926	0.0	0.0
1926	1	0	1927	0.0	0.0
1927	0	0	1927	0.0	0.0
1927	0	0	1927	0.0	0.0
1927	-1	0	1926	0.0	0.0
1926	-1	0	1925	0.0	0.0
1925	0	0	1797	0.0	0.0
1797	0	0	1669	0.0	0.0
1669	0	0	1541	0.0	0.0
1541	0	0	1413	0.0	0.0
1413	0	0	1285	0.0	0.0
1285	0	0	1157	0.0	0.0
1157	0	0	1029	0.0	0.0
1029	1	0	902	0.0	0.0
902	-1	0	901	0.0	0.0
901	0	0	773	0.0	0.0
773	0	0	645	0.0	0.0
645	1	0	518	0.0	0.0
518	1	0	519	0.0	0.0
519	-1	0	646	0.0	0.0
646	0	0	646	0.0	0.0
646	1	0	647	0.0	0.0
647	0	0	775	0.0	0.0
775	-1	0	902	0.0	0.0
902	1	0	903	0.0	0.0
903	0	0	1031	0.0	0.0
1031	1	0	1152	0.0	0.0
1152	-1	0	1287	0.0	0.0
1287	-1	0	1414	0.0	0.0
1414	1	0	1415	0.0	0.0
1415	-1	0	1542	0.0	0.0
1542	0	0	1542	0.0	0.0
1542	0	0	1542	0.0	0.0
1542	1	0	1543	0.0	0.0
1543	-1	0	1670	0.0	0.0
1670	0	0	1670	0.0	0.0
1670	-1	0	1669	0.0	0.0
1669	-1	0	1540	0.0	0.0
1540	1	0	1413	0.0	0.0
1413	0	0	1285	0.0	0.0
1285	1	0	1158	0.0	0.0
1158	0	0	1158	0.0	0.0
1158	1	0	1159	0.0	0.0
1159	0	0	1287	0.0	0.0
1287	-1	0	1414	0.0	0.0
1414	1	0	1415	0.0	0.0
1415	1	0	1536	0.0	0.0
1536	0	0	1664	0.0	0.0
1664	1	0	1793	0.0	0.0
1793	0	0	1929	0.0	0.0
1929	0	0	1937	0.0	0.0
1937	1	0	1946	0.0	0.0
1946	0	0	1954	0.0	0.0
1954	1	0	1963	0.0	0.0
1963	1	0	1844	0.0	0.0
1844	0	0	1716	0.0	0.0
1716	-1	0	1587	0.0	0.0
1587	0	0	1467	0.0	0.0
1467	0	0	1347	0.0	0.0
1347	1	0	1228	0.0	0.0
1228	-1	0	1099	0.0	0.0
1099	0	0	979	0.0	0.0
979	0	0	859	0.0	0.0
859	1	0	740	0.0	0.0
740	1	0	613	0.0	0.0
613	-1	0	476	0.0	0.0
476	0	0	348	0.0	0.0
348	1	0	221	0.0	0.0
221	0	0	85	0.0	0.0
85	1	0	78	0.0	0.0
78	0	0	70	0.0	0.0
70	1	0	63	0.0	0.0
63	0	0	183	0.0	0.0
183	0	0	303	0.0	0.0
303	-1	0	422	0.0	0.0
422	0	0	414	0.0	0.0
414	1	0	407	0.0	0.0
407	0	0	527	0.0	0.0
527	1	0	640	0.0	0.0
640	-1	0	775	0.0	0.0
775	-1	0	902	0.0	0.0
902	0	0	902	0.0	0.0
902	0	0	902	0.0	0.0
902	0	0	902	0.0	0.0
902	0	0	902	0.0	0.0
902	0	0	902	0.0	0.0
902	1	0	903	0.0	0.0
903	-1	0	1030	0.0	0.0
1030	1	0	1031	0.0	0.0
1031	1	0	1152	0.0	0.0
1152	-1	0	1287	0.0	0.0
1287	0	0	1415	0.0	0.0
1415	-1	0	1542	0.0	0.0
1542	-1	0	1541	0.0	0.0
1541	-1	0	1412	0.0	0.0
1412	1	0	1285	0.0	0.0
1285	-1	0	1156	0.0	0.0
1156	1	0	1029	0.0	0.0
1029	1	0	902	0.0	0.0
902	-1	0	901	0.0	0.0
901	-1	0	772	0.0	0.0
772	1	0	645	0.0	0.0
645	0	0	517	0.0	0.0
517	1	0	390	0.0	0.0
390	0	0	390	0.0	0.0
390	-1	0	389	0.0	0.0
389	0	0	261	0.0	0.0
261	1	0	134	0.0	0.0
134	0	0	134	0.0	0.0
134	0	0	134	0.0	0.0
134	0	0	134	0.0	0.0
134	-1	0	133	0.0	0.0
133	1	0	6	0.0	0.0
6	1	0	7	0.0	0.0
7	0	0	135	0.0	0.0
135	1	0	256	0.0	0.0
256	-1	0	391	0.0	0.0
391	1	0	512	0.0	0.0
512	0	0	640	0.0	0.0
640	-1	0	775	0.0	0.0
775	1	0	896	0.0	0.0
896	-1	0	1031	0.0	0.0
1031	1	0	1152	0.0	0.0
1152	1	0	1281	0.0	0.0
1281	0	0	1417	0.0	0.0
1417	-1	0	1552	0.0	0.0
1552	1	0	1681	0.0	0.0
1681	1	0	1818	0.0	0.0
1818	0	0	1826	0.0	0.0
1826	0	0	1834	0.0	0.0
1834	1	0	1843	0.0	0.0
1843	0	0	1723	0.0	0.0
1723	1	0	1604	0.0	0.0
1604	-1	0	1475	0.0	0.0
1475	1	0	1356	0.0	0.0
1356	1	0	1229	0.0	0.0
1229	-1	0	1092	0.0	0.0
1092	-1	0	963	0.0	0.0
963	-1	0	842	0.0	0.0
842	0	0	850	0.0	0.0
850	-1	0	857	0.0	0.0
857	-1	0	992	0.0	0.0
992	0	0	1120	0.0	0.0
1120	0	0	1248	0.0	0.0
1248	-1	0	1383	0.0	0.0
1383	1	0	1496	0.0	0.0
1496	1	0	1625	0.0	0.0
1625	0	0	1761	0.0	0.0
1761	1	0	1898	0.0	0.0
1898	0	0	1906	0.0	0.0
1906	0	0	1914	0.0	0.0
1914	0	0	1914	0.0	0.0
1914	1	0	1915	0.0	0.0
1915	-1	0	1786	0.0	0.0
1786	1	0	1787	0.0	0.0
1787	-1	0	1658	0.0	0.0
1658	1	0	1659	0.0	0.0
1659	-1	0	1530	0.0	0.0
1530	1	0	1531	0.0	0.0
1531	-1	0	1402	0.0	0.0
1402	0	0	1402	0.0	0.0
1402	-1	0	1401	0.0	0.0
1401	1	0	1530	0.0	0.0
1530	1	0	1531	0.0	0.0
1531	0	0	1403	0.0	0.0
1403	1	0	1276	0.0	0.0
1276	0	0	1148	0.0	0.0
1148	-1	0	1019	0.0	0.0
1019	1	0	892	0.0	0.0
892	-1	0	763	0.0	0.0
763	0	0	635	0.0	0.0
635	0	0	507	0.0	0.0
507	0	0	379	0.0	0.0
379	-1	0	250	0.0	0.0
250	1	0	251	0.0	0.0
251	0	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	-1	0	122	0.0	0.0
122	0	0	122	0.0	0.0
122	0	0	122	0.0	0.0
122	0	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	-1	0	116	0.0	0.0
116	1	0	117	0.0	0.0
117	1	0	110	0.0	0.0
110	1	0	103	0.0	0.0
103	-1	0	222	0.0	0.0
222	0	0	214	0.0	0.0
214	0	0	206	0.0	0.0
206	1	0	199	0.0	0.0
199	1	0	312	0.0	0.5314410000000002
312	-1	0	447	0.0	0.0
447	0	0	567	0.0	0.0
567	1	0	680	0.0	0.0
680	0	0	808	0.0	0.0
808	1	0	937	0.0	0.0
937	1	0	1074	0.0	0.0
1074	0	0	1082	0.0	0.0
1082	1	0	1091	0.0	0.0
1091	1	0	972	0.0	0.0
972	1	0	845	0.0	0.0
845	0	0	709	0.0	0.0
709	-1	0	572	0.0	0.0
572	1	0	445	0.0	0.0
445	1	0	310	0.0	0.0
310	1	0	303	0.0	0.0
303	-1	0	422	0.0	0.0
422	0	0	414	0.0	0.0
414	-1	0	405	0.0	0.0
405	1	0	270	0.0	0.0
270	0	0	262	0.0	0.0
262	1	0	263	0.0	0.0
263	0	0	391	0.0	0.0
391	0	0	519	0.0	0.0
519	0	0	647	0.0	0.0
647	1	0	768	0.0	0.0
768	1	0	897	0.0	0.0
897	1	0	1034	0.0	0.0
1034	0	0	1042	0.0	0.0
1042	-1	0	1049	0.0	0.0
1049	-1	0	1184	0.0	0.0
1184	1	0	1313	0.0	0.0
1313	1	0	1450	0.0	0.0
1450	-1	0	1457	0.0	0.0
1457	0	0	1593	0.0	0.0
1593	1	0	1730	0.0	0.0
1730	1	0	1739	0.0	0.0
1739	0	0	1619	0.0	0.0
1619	0	0	1499	0.0	0.0
1499	1	0	1380	0.0	0.5904900000000002
1380	-1	0	1251	0.0	0.0
1251	-1	0	1130	0.0	0.0
1130	1	0	1139	0.0	0.0
1139	1	0	1020	0.0	0.0
1020	-1	0	891	0.0	0.0
891	-1	0	762	0.0	0.0
762	1	0	763	0.0	0.0
763	0	0	635	0.0	0.0
635	0	0	507	0.0	0.0
507	-1	0	378	0.0	0.0
378	1	0	379	0.0	0.0
379	0	0	251	0.0	0.0
251	-1	0	122	0.0	0.0
122	-1	0	121	0.0	0.0
