dim	coefficient
296	311.1912010579506
297	279.81517876441984
298	293.4157308858371
299	305.43611055083977
300	308.3737417231275
301	285.3923492722938
302	285.66256833491747
303	308.92521913190296
304	293.3287958883701
305	301.3944630447923
306	311.4285683402843
307	297.5310584992474
308	692.096883849487
309	303.4400379205963
310	293.3942252467637
311	301.1504091198393
312	295.22343490058444
313	304.5723282751001
314	297.8810467544854
315	317.9230392301151
316	301.88677321831915
317	300.7319195232437
318	289.9726783637809
319	299.04576197218887
320	305.8229720498085
321	308.14563057527477
322	306.70185502723393
323	299.2539219651265
324	287.1015323000849
325	291.3513932575779
326	306.5227329046683
327	301.684376125141
328	300.33568059128936
329	298.29241342444453
330	304.7671259524108
331	309.2815991449492
332	305.1610716050162
333	278.9867588099445
334	299.13305412263253
335	306.56673460860793
336	295.674071358726
337	305.5779628718069
338	297.27678288822983
339	315.2590081143928
340	298.0445699511312
341	305.69450693687963
342	299.81543535445553
343	306.241902666179
344	290.08655888422834
345	296.0615590873181
346	297.70822439516644
347	298.91201066981785
348	306.73127121768925
349	293.5905905754454
350	296.9739341157626
351	298.0288781068114
352	301.41224031319473
353	297.1163626445768
354	297.64222996392743
355	291.59484320725267
356	300.8129340512244
357	301.7536436177219
358	302.052384102366
359	296.0441130935328
360	320.7528686252764
361	300.79975831876106
362	304.35136984053224
363	307.9403647759078
364	295.72598539719843
365	293.04629092924205
366	305.97917925785987
367	305.98960838373443
368	298.1148893716062
369	301.94335268630687
370	311.14993372403615
371	302.924007728582
372	295.5735451808921
373	303.8783326772201
374	298.98851805158824
375	297.759883158244
376	308.3290095041371
377	297.7891957302234
378	299.2772615397163
379	295.9087550396926
380	294.96443396297013
381	352.582609800679
382	306.03609038223226
383	308.36254573779945
384	306.66323790171816
385	300.60945988130794
386	308.4409454865269
387	291.0479925870555
388	296.08562514741243
389	303.8883671897771
390	278.8013233322841
391	288.27650859899927
392	302.9524895470125
393	295.14258988790476
394	300.8233208987568
395	296.4177280723361
396	299.87117141840315
397	301.3665748139044
398	280.08850962941943
399	297.64639624564
400	295.9868360910363
401	298.5010348621345
402	285.5515172891967
403	273.10519440207173
404	301.3279977162881
405	313.27495029246336
406	300.4010831132478
407	302.0929597412897
408	266.75027080352584
409	286.5634923454346
410	299.71980379895604
411	294.1091996312293
412	296.4547001293414
413	302.2113082072185
414	290.39677476025463
415	298.3370023272989
416	298.5057231872711
417	304.2611867014623
418	301.78998868739774
419	297.71628699857115
420	297.2138606293824
421	268.9953903428211
422	313.9649863401419
423	292.9630422134707
424	296.2175238672562
425	300.23588973938394
426	296.0127976499618
427	290.25521311959795
428	302.90905067797576
429	295.7857685237356
430	294.1710308155642
431	297.6205508874448
432	243.0284300033466
433	302.35425369345296
434	304.5026811741612
435	301.97294402176374
436	274.690444927911
437	310.7852996859466
438	299.5893175838541
439	300.38098924837817
440	305.44719739133734
441	325.6373648255678
442	292.3823287815997
443	302.1632349884821
444	296.31553519242834
445	305.38060936452354
446	301.08791210773495
447	295.2968704729372
448	303.31008219525654
449	302.17105428600144
450	301.80323207793145
451	317.7542998212842
452	284.8856907126958
453	309.8910563020997
454	301.6420464552796
455	301.652993037
456	300.1263095334927
457	291.18084338542076
458	301.7118429527686
459	295.90084371290914
460	298.0779468707618
461	288.5768019033496
462	288.472857695906
463	304.4603964076486
464	300.5586447891475
465	303.84353546144337
466	291.49654245883744
467	298.45092983310093
468	303.9025726474496
469	287.1334487759865
470	312.19162339528907
471	304.8840455698683
472	304.13266916767407
473	266.87670061697065
474	299.05628291671394
475	296.2983126064037
476	303.75524686065006
477	305.4324421889347
478	309.5676963205793
479	298.7314589310963
480	294.8895976363575
481	301.1158813035738
482	308.60877229940183
483	290.01726285804654
484	303.2029837043128
485	303.3777923884202
486	299.97769097320315
487	291.31756861170413
488	308.08340072690714
489	300.5470588161412
490	298.326448012182
491	305.2868263806495
492	301.1422705385972
493	292.0218935833683
494	299.4142687422152
495	301.3202722667807
496	293.81193503068675
497	304.46664049372316
498	294.34996226816025
499	311.86408714577107
500	301.5400291504929
501	303.26195329960325
502	295.105827555142
503	295.67449576302084
504	307.50858487164965
505	259.178631943544
506	300.0861964187646
507	297.74908820229194
508	296.934260190652
509	299.84367489527693
510	297.09513389426473
511	295.78012346932644
512	290.9297458968127
513	295.4700357810528
514	306.2999239736904
515	310.8392062193087
516	289.9987546268021
517	306.5943549494993
518	303.55277319023844
519	297.51349167952174
520	291.0715235002641
521	307.6528445668548
522	300.9108313105587
523	285.3187756041019
524	305.68730077531654
525	302.1756354172125
526	305.9583855728748
527	305.0891360302478
528	298.51793703093495
529	311.0056663041989
530	289.1461261314159
531	308.58461996425143
532	307.8084298490602
533	272.51800820844585
534	299.4192722038416
535	307.53121702949664
536	268.68727156026466
537	307.0132612849545
538	301.6123717778976
539	310.6777276058606
540	300.92487512095704
541	287.6907428484278
542	284.76822251340593
543	301.6644885137487
544	294.2082146571606
545	307.16899267970723
546	290.77642417548725
547	300.01546122586257
548	305.53805577214905
549	292.2437058682961
550	305.6534173452943
551	285.91940163020524
552	292.11990324189327
553	279.6859493811472
554	301.0566221151845
555	297.19304457927433
556	302.3761742675938
557	310.36452713344596
558	301.64591577784324
559	303.7100579617751
560	297.2379266755797
561	296.09431134013926
562	286.3701660551086
563	273.12094256061323
564	299.9720438430501
565	299.00163626491513
566	318.6742120099406
567	310.47612479816974
568	319.46784671758076
569	298.67475642693637
570	279.86893833260785
571	303.7872354710245
572	305.1269240449906
573	301.1460430634139
574	299.1527607393232
575	276.7361070012952
576	299.3608055806627
577	291.7224768360263
578	280.9465497263491
579	299.85521151106184
580	295.27527000446264
581	294.21284655859
582	291.9399782992385
583	310.0899346788229
584	296.21311270993186
585	302.7704742169941
586	288.2682990239854
587	301.61152584469687
588	365.44758412645865
589	307.911765716155
590	288.0378667956583
591	301.2312420645057
592	303.3490625075892
593	301.4078824409448
594	303.54889247458755
595	306.9082086551063
